pair_id,source_id,genre,dim_target,perturbation,magnitude,score_H,score_T,score_R,score_S,score_scs,score_clap_htsat,score_cbase
classical_08::lowpass::lp8000,classical_08,classical,T,lowpass,8000.0,0.999998,0.958808,0.999964,0.852992,0.999755,0.968914,0.984214
classical_08::lowpass::lp4000,classical_08,classical,T,lowpass,4000.0,0.999966,0.949259,0.999725,0.862291,0.998971,0.943209,0.970690
classical_08::lowpass::lp2000,classical_08,classical,T,lowpass,2000.0,0.999991,0.464655,0.978766,0.809842,0.984396,0.937099,0.960457
classical_08::distortion::drv4,classical_08,classical,T,distortion,4.0,0.998720,0.573731,0.982074,0.786626,0.932385,0.970300,0.951154
classical_08::distortion::drv12,classical_08,classical,T,distortion,12.0,0.984657,0.414515,0.972304,0.548975,0.836570,0.808055,0.822189
classical_08::distortion::drv32,classical_08,classical,T,distortion,32.0,0.967876,0.408195,0.979024,0.435135,0.787688,0.691999,0.738295
classical_08::style_swap::swap_cross,classical_08,classical,S,style_swap,nan,0.809106,0.416323,0.888815,0.604412,0.547778,0.783194,0.654994
classical_08::style_swap::swap_same,classical_08,classical,S,style_swap,nan,0.809079,0.380344,0.901239,0.667203,0.646591,0.725562,0.684939
classical_09::control::ctrl,classical_09,classical,control,control,0.0,1.000000,1.000000,1.000000,0.779827,1.000000,1.000000,1.000000
classical_09::pitch_shift::-4st,classical_09,classical,H,pitch_shift,-4.0,0.848484,0.621390,0.993900,0.656669,0.975331,0.985349,0.980327
classical_09::pitch_shift::-2st,classical_09,classical,H,pitch_shift,-2.0,0.849070,0.726420,0.998179,0.696997,0.983574,0.992813,0.988183
classical_09::pitch_shift::-1st,classical_09,classical,H,pitch_shift,-1.0,0.806949,0.815983,0.999191,0.706485,0.990459,0.989559,0.990009
classical_09::pitch_shift::+1st,classical_09,classical,H,pitch_shift,1.0,0.799052,0.796756,0.998331,0.687986,0.987593,0.985393,0.986493
classical_09::pitch_shift::+2st,classical_09,classical,H,pitch_shift,2.0,0.834523,0.710134,0.985918,0.690775,0.981863,0.984007,0.982934
classical_09::pitch_shift::+4st,classical_09,classical,H,pitch_shift,4.0,0.827255,0.589200,0.978983,0.649953,0.968036,0.981286,0.974639
classical_09::time_stretch::-20pct,classical_09,classical,R,time_stretch,-20.0,0.990624,0.873693,0.830187,0.755334,0.803377,0.989713,0.891691
