pair_id,musecp_key,musecp_chroma_mean,musecp_chroma_dtw,musecp_bpm,musecp_beat_f,musecp_beat_ig,musecp_struct_f,musecp_ari,musecp_contour,musecp_motif,musecp_mfcc_skl,musecp_mfcc_cos,musecp_mean12,musecp_mean10
folk_13::displacement::disp_near,1.000000,0.986025,0.968088,0.156526,0.400000,0.517511,1.000000,1.000000,0.330140,1.000000,0.478712,0.996940,0.714704,0.711391
folk_13::displacement::disp_far,0.333333,0.924182,0.929953,0.033043,0.250000,0.626695,0.986847,0.652100,0.330785,0.000000,0.344895,0.992180,0.500438,0.469777
folk_14::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.916667,0.900000
folk_14::shuffle::shuf_beat,1.000000,0.999196,0.934374,0.757412,0.333333,0.000000,0.765625,0.000000,0.583379,0.272727,0.880477,0.999994,0.590342,0.520435
folk_14::shuffle::shuf_bar,1.000000,0.999939,0.824297,1.000000,0.000000,0.000000,0.912033,0.000000,0.278510,0.909091,0.922863,0.999992,0.618475,0.549931
folk_14::reverse::rev,1.000000,0.999996,0.695686,0.770680,0.400000,0.000000,0.700658,0.000000,0.322997,0.181818,0.727107,0.999989,0.505504,0.434056
folk_14::displacement::disp_near,1.000000,0.936290,0.818433,0.770680,0.250000,0.000000,0.974692,0.000000,0.325137,0.181818,0.504424,0.991873,0.524424,0.482647
folk_14::displacement::disp_far,1.000000,0.944775,0.786566,0.603398,0.000000,0.000000,0.851744,0.000000,0.360825,0.363636,0.531364,0.990710,0.485823,0.434116
folk_15::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
folk_15::shuffle::shuf_beat,1.000000,0.990796,0.836872,1.000000,0.000000,0.579728,0.932776,0.391063,0.357740,0.000000,0.888720,0.999909,0.632911,0.570725
folk_15::shuffle::shuf_bar,1.000000,0.994511,0.889379,1.000000,0.000000,0.641267,0.971884,0.635547,0.429419,0.307692,0.966763,0.999975,0.713105,0.659080
folk_15::reverse::rev,1.000000,0.994514,0.886057,0.600094,0.000000,0.641267,0.932776,0.391063,0.320112,0.153846,0.711536,0.999989,0.605763,0.555932
folk_15::displacement::disp_near,0.833333,0.920194,0.757630,0.600094,0.000000,0.727647,0.959560,0.531839,0.261623,0.000000,0.525031,0.977150,0.540909,0.506688
folk_15::displacement::disp_far,0.833333,0.914030,0.805548,1.000000,0.000000,0.641267,0.971884,0.635547,0.309132,0.000000,0.497493,0.944915,0.574225,0.563299
jazz_01::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
jazz_01::shuffle::shuf_beat,1.000000,0.999098,0.970014,1.000000,0.235294,0.449804,0.986505,0.782855,0.548327,0.250000,0.937780,0.999958,0.748826,0.704868
jazz_01::shuffle::shuf_bar,1.000000,0.999923,0.944633,1.000000,0.750000,0.491282,0.971884,0.635547,0.367638,0.625000,0.978130,0.999994,0.792059,0.752673
jazz_01::reverse::rev,1.000000,0.999307,0.935621,1.000000,0.777778,0.449804,0.986505,0.782855,0.308267,0.375000,0.823863,0.999999,0.764310,0.734888
jazz_01::displacement::disp_near,0.166667,0.975347,0.936134,1.000000,0.941176,0.615717,0.971073,0.634652,0.307440,0.250000,0.774627,0.998752,0.687307,0.647973
jazz_01::displacement::disp_far,0.166667,0.994723,0.942460,1.000000,0.571429,0.548417,1.000000,1.000000,0.340449,0.062500,0.813303,0.999128,0.682662,0.638347
jazz_02::control::ctrl,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
jazz_02::shuffle::shuf_beat,0.833333,0.999314,0.938266,0.273538,0.363636,0.641267,0.951777,0.793702,0.380603,0.214286,0.897745,0.999988,0.666962,0.610644
